date,ndvi
2010-01-01,0.2832
2010-01-17,0.2646
2010-02-02,0.2199
2010-02-18,0.1937
2010-03-06,0.186
2010-03-22,0.1899
2010-04-07,0.1926
2010-04-23,0.1827
2010-05-09,0.1827
2010-05-25,0.2356
2010-06-10,0.1943
2010-06-26,0.2031
2010-07-12,0.1895
2010-07-28,0.0373
2010-08-13,0.1554
2010-08-29,0.062
2010-09-14,0.4709
2010-09-30,0.5214
2010-10-16,0.5073
2010-11-01,0.6071
2010-11-17,0.5262
2010-12-03,0.2909
2010-12-19,0.3136
2011-01-01,0.3143
2011-01-17,0.3351
2011-02-02,0.344
2011-02-18,0.3097
2011-03-06,0.3714
2011-03-22,0.3925
2011-04-07,0.3768
2011-04-23,0.4173
2011-05-09,0.3143
2011-05-25,0.2509
2011-06-10,0.1879
2011-06-26,0.165
2011-07-12,0.1188
2011-07-28,0.1398
2011-08-13,0.2147
2011-08-29,0.6588
2011-09-14,0.6573
2011-09-30,0.6311
2011-10-16,0.6208
2011-11-01,0.6271
2011-11-17,0.5559
2011-12-03,0.4888
2011-12-19,0.3926
2012-01-01,0.3894
2012-01-17,0.3072
2012-02-02,0.3189
2012-02-18,0.3306
2012-03-05,0.3511
2012-03-21,0.3357
2012-04-06,0.4137
2012-04-22,0.4096
2012-05-08,0.3374
2012-05-24,0.3526
2012-06-09,0.2847
2012-06-25,0.1923
2012-07-11,0.1153
2012-07-27,0.0759
2012-08-12,0.2519
2012-08-28,0.0577
2012-09-13,-0.1608
2012-09-29,0.2342
2012-10-15,0.1968
2012-10-31,0.4545
2012-11-16,0.4447
2012-12-02,0.1243
2012-12-18,0.09
2013-01-01,0.2088
2013-01-17,0.3529
2013-02-02,0.3268
2013-02-18,0.274
2013-03-06,0.2257
2013-03-22,0.4041
2013-04-07,0.3907
2013-04-23,0.3863
2013-05-09,0.2843
2013-05-25,0.281
2013-06-10,0.2366
2013-06-26,0.0767
2013-07-12,0.0489
2013-07-28,0.0956
2013-08-13,0.0947
2013-08-29,0.5278
2013-09-14,0.4927
2013-09-30,0.6361
2013-10-16,0.5207
2013-11-01,0.562
2013-11-17,0.526
2013-12-03,0.4354
2013-12-19,0.3446
2014-01-01,0.2892
2014-01-17,0.2326
2014-02-02,0.3603
2014-02-18,0.2825
2014-03-06,0.3054
2014-03-22,0.3368
2014-04-07,0.3529
2014-04-23,0.3627
2014-05-09,0.4068
2014-05-25,0.3314
2014-06-10,0.3663
2014-06-26,0.1968
2014-07-12,0.0796
2014-07-28,0.0211
2014-08-13,0.2545
2014-08-29,0.4949
2014-09-14,0.3578
2014-09-30,0.6365
2014-10-16,0.594
2014-11-01,0.5874
2014-11-17,0.512
2014-12-03,0.3506
2014-12-19,0.358
2015-01-01,0.341
2015-01-17,0.2779
2015-02-02,0.223
2015-02-18,0.3731
2015-03-06,0.3333
2015-03-22,0.3995
2015-04-07,0.4262
2015-04-23,0.3911
2015-05-09,0.3242
2015-05-25,0.2914
2015-06-10,0.2838
2015-06-26,0.2031
2015-07-12,0.0603
2015-07-28,0.019
2015-08-13,0.0467
2015-08-29,0.189
2015-09-14,0.5181
2015-09-30,0.5648
2015-10-16,0.5389
2015-11-01,0.5103
2015-11-17,0.4779
2015-12-03,0.3036
2015-12-19,0.3083
2016-01-01,0.332
2016-01-17,0.3021
2016-02-02,0.3087
2016-02-18,0.2591
2016-03-05,0.2954
2016-03-21,0.2453
2016-04-06,0.2239
2016-04-22,0.2119
2016-05-08,0.1517
2016-05-24,0.1878
2016-06-09,0.1318
2016-06-25,0.1458
2016-07-11,0.0466
2016-07-27,0.0384
2016-08-12,0.2193
2016-08-28,0.0738
2016-09-13,0.1573
2016-09-29,0.383
2016-10-15,0.4634
2016-10-31,0.4405
2016-11-16,0.4434
2016-12-02,0.3139
2016-12-18,0.3371
2017-01-01,0.3709
2017-01-17,0.2933
2017-02-02,0.3329
2017-02-18,0.3201
2017-03-06,0.2904
2017-03-22,0.2673
2017-04-07,0.2227
2017-04-23,0.1543
2017-05-09,0.1808
2017-05-25,0.2211
2017-06-10,0.1682
2017-06-26,0.1504
2017-07-12,0.0403
2017-07-28,0.0186
2017-08-13,0.1409
2017-08-29,0.6697
2017-09-14,0.7968
2017-09-30,0.4452
2017-10-16,0.5464
2017-11-01,0.3772
2017-11-17,0.4954
2017-12-03,0.6135
2017-12-19,0.3224
2018-01-01,0.3504
2018-01-17,0.2691
2018-02-02,0.3846
2018-02-18,0.3255
2018-03-06,0.4376
2018-03-22,0.3587
2018-04-07,0.3472
2018-04-23,0.3704
2018-05-09,0.2318
2018-05-25,0.2339
2018-06-10,0.2515
2018-06-26,0.0786
2018-07-12,0.0594
2018-07-28,0.13
2018-08-13,0.2322
2018-08-29,0.2221
2018-09-14,0.2518
2018-09-30,0.218
2018-10-16,0.1941
2018-11-01,0.1996
2018-11-17,0.1857
2018-12-03,0.1955
2018-12-19,0.1705
2019-01-01,0.1611
2019-01-17,0.1713
2019-02-02,0.1697
2019-02-18,0.1767
2019-03-06,0.1663
2019-03-22,0.1492
2019-04-07,0.1543
2019-04-23,0.1879
2019-05-09,0.1762
2019-05-25,0.168
2019-06-10,0.1591
2019-06-26,0.0632
2019-07-12,0.133
2019-07-28,0.0097
2019-08-13,
2019-08-29,-0.021
2019-09-14,0.1641
2019-09-30,0.2612
2019-10-16,0.4202
2019-11-01,0.6334
2019-11-17,0.5636
2019-12-03,0.3778
2019-12-19,0.4436
2020-01-01,0.4487
2020-01-17,0.3672
2020-02-02,0.3917
2020-02-18,0.3557
2020-03-05,0.3244
2020-03-21,0.3791
2020-04-06,0.3908
2020-04-22,0.3831
2020-05-08,0.4056
2020-05-24,0.4355
2020-06-09,0.3122
2020-06-25,0.3378
2020-07-11,0.1465
2020-07-27,0.316
2020-08-12,0.0083
2020-08-28,0.0397
2020-09-13,0.406
2020-09-29,0.4242
2020-10-15,0.6072
2020-10-31,0.5702
2020-11-16,0.606
2020-12-02,0.3884
2020-12-18,0.4583
2021-01-01,0.5326
2021-01-17,0.4461
2021-02-02,0.4539
2021-02-18,0.4271
2021-03-06,0.3912
2021-03-22,0.4379
2021-04-07,0.3804
2021-04-23,0.4509
2021-05-09,0.4911
2021-05-25,0.403
2021-06-10,0.4123
2021-06-26,0.2111
2021-07-12,0.2631
2021-07-28,0.1299
2021-08-13,0.2637
2021-08-29,0.0992
2021-09-14,0.2714
2021-09-30,0.3308
2021-10-16,0.3092
2021-11-01,0.4807
2021-11-17,0.4871
2021-12-03,0.435
2021-12-19,0.3616
2022-01-01,0.5073
2022-01-17,0.4821
2022-02-02,0.3875
2022-02-18,0.4421
2022-03-06,0.4108
2022-03-22,0.3709
2022-04-07,0.3644
2022-04-23,0.3591
2022-05-09,0.3267
2022-05-25,0.1991
2022-06-10,0.2631
2022-06-26,0.1493
2022-07-12,0.2321
2022-07-28,0.0994
2022-08-13,0.0981
2022-08-29,0.279
2022-09-14,0.2765
2022-09-30,0.3022
2022-10-16,0.2831
2022-11-01,0.1626
2022-11-17,0.3521
2022-12-03,0.4176
2022-12-19,0.3444
2023-01-01,0.4038
2023-01-17,0.3523
2023-02-02,0.3125
2023-02-18,0.3312
2023-03-06,0.3105
2023-03-22,0.235
2023-04-07,0.2192
2023-04-23,0.2576
2023-05-09,0.2106
2023-05-25,0.1958
2023-06-10,0.2007
2023-06-26,0.0352
2023-07-12,0.0188
2023-07-28,0.0215
2023-08-13,0.04
2023-08-29,0.3435
2023-09-14,0.243
2023-09-30,0.3552
2023-10-16,0.3622
2023-11-01,0.4458
2023-11-17,0.4521
2023-12-03,0.3551
2023-12-19,0.1962
2024-01-01,0.204
2024-01-17,0.2048
2024-02-02,0.2596
2024-02-18,0.3208
2024-03-05,0.2635
2024-03-21,0.2674
2024-04-06,0.3074
2024-04-22,0.3373
2024-05-08,0.343
2024-05-24,0.2148
2024-06-09,0.2561
2024-06-25,0.2496
2024-07-11,0.2832
2024-07-27,0.0413
2024-08-12,-0.015
2024-08-28,-0.0734
2024-09-13,-0.0344
2024-09-29,0.1072
2024-10-15,0.253
2024-10-31,0.2362
2024-11-16,0.5277
2024-12-02,0.3449
2024-12-18,0.3508
